"ID_REF"	"GSM5019817"	"GSM5019818"	"GSM5019819"	"GSM5019820"	"GSM5019821"	"GSM5019822"	"GSM5019823"	"GSM5019824"	"GSM5019825"	"GSM5019826"	"GSM5019827"	"GSM5019828"	"GSM5019829"	"GSM5019830"	"GSM5019831"
"(+)E1A_r60_1"	3.9512737	2.5547898	2.904286	2.4103181	2.5825057	2.4300966	2.4039383	2.9406443	2.4604394	2.5724537	3.8166814	3.6794739	3.3298142	3.6306164	2.5098107
"(+)E1A_r60_3"	3.5746977	3.137513	3.3136933	3.424499	3.3597052	3.5546775	3.6508782	3.5991366	3.9779167	3.9627275	4.0192027	3.5960894	3.5149846	3.9758527	3.4044266
"(+)E1A_r60_a104"	3.588675	2.3641512	2.919153	2.660142	2.3978496	2.9039245	2.8059633	3.1401658	2.677928	2.751035	3.7710643	3.8015137	3.8233607	3.7350903	3.3708003
"(+)E1A_r60_a107"	3.9508934	2.8073194	3.1622896	3.1039128	2.707994	4.6705995	4.702492	4.516458	5.327897	4.633935	5.0404253	5.10725	5.3400598	5.1438055	5.349485
"(+)E1A_r60_a135"	3.6427658	2.3603163	2.9094183	2.3797672	2.4066808	2.669327	2.6363688	2.8377082	2.6058245	2.6185896	3.8399982	3.6944175	3.4890018	3.742646	2.9137776
"(+)E1A_r60_a20"	4.270099	3.6629052	3.7587705	3.8641934	3.5053961	3.45761	3.501079	3.414444	3.3217328	3.4623559	4.014873	3.9738772	3.915926	4.0179095	3.8563223
"(+)E1A_r60_a22"	4.5617585	3.3723195	3.644009	3.5817869	3.4343069	3.5330513	3.4611003	3.460338	3.4337466	3.2965074	4.142301	4.2828145	4.288956	4.388352	3.9238484
"(+)E1A_r60_a97"	3.7986014	2.3437016	2.9672687	2.4101272	2.3878915	2.6135347	2.5919592	2.7863925	2.5839543	2.618754	3.7814612	3.6963134	3.40287	3.6450605	2.9900472
"(+)E1A_r60_n11"	4.033408	5.1331744	4.4932303	4.4009633	4.875407	4.9440355	4.836119	4.758538	4.5866556	4.5765295	4.0434017	4.7923546	5.0902505	4.9099336	5.181536
"(+)E1A_r60_n9"	3.940454	2.5490544	3.0231986	2.8285596	2.567579	3.5280876	3.5726328	3.205347	3.2239707	3.2321577	4.0742736	4.451587	4.6663113	4.4266653	4.159384
"3xSLv1"	3.7448487	2.3425934	2.9063432	2.3697674	2.3896952	2.3457692	2.3441784	2.793479	2.4462504	2.567195	3.7743335	3.612873	3.3343945	3.6023662	2.3556232
"A_23_P10385"	4.7169523	3.7118008	4.0854053	4.3453474	4.2285233	6.375159	5.6664977	7.7517304	5.8867264	6.223968	6.495962	5.572417	3.9832883	6.596021	5.02072
"A_23_P111995"	7.9531937	6.9792624	7.1990514	7.1232924	6.8729815	8.23205	7.8676767	7.979455	8.267254	8.244048	8.4604645	8.972597	8.733942	8.205717	8.212392
"A_23_P11507"	9.024487	9.093928	9.569891	9.261409	8.502287	9.93444	9.123189	9.0164995	9.36538	10.099406	9.569387	8.883143	7.546044	8.39655	7.5194373
"A_23_P11685"	5.2696295	5.181909	5.533137	4.977121	4.5125246	4.051808	4.8561215	5.6982865	6.8882804	5.4008975	7.0368423	6.49891	4.901553	5.5930085	3.64195
"A_23_P122216"	3.7226565	3.4564333	2.950357	3.1293263	3.4237795	4.1129036	4.116497	4.0088496	4.040583	4.1067204	4.660852	5.099715	4.70183	4.6367846	5.087884
"A_23_P128613"	5.9444213	4.263619	4.926676	5.085157	4.523352	6.523363	5.5321403	7.4405713	6.2050385	5.6736927	7.2214203	6.628781	5.381964	7.104872	3.9333735
"A_23_P1331"	6.1701975	6.0625033	6.1355953	6.2175655	6.258734	5.9337854	6.2970767	5.6164284	5.3456955	5.5627737	5.822272	6.007066	6.6908894	6.2444973	6.0845904
"A_23_P139509"	7.7571673	7.8361964	8.630013	8.261157	7.32361	8.727985	8.5525	8.882674	9.147714	9.257097	8.982689	8.808212	8.502287	8.819466	8.859223
"A_23_P142849"	4.215314	3.3310037	2.9582174	2.8197937	3.282313	2.8996174	2.7713587	3.097847	3.2016954	2.9027607	4.0432153	4.1088343	3.5667067	3.865424	2.8426433
"A_23_P148798"	8.096369	9.100124	9.070438	8.720132	8.469482	7.696396	7.6161447	8.561397	7.948318	8.140591	8.292997	8.148702	7.083413	7.7812004	6.1477556
"A_23_P154235"	11.252739	11.412077	12.197484	12.4309635	11.659783	13.141237	13.218073	12.625632	13.52394	14.169546	13.160333	13.086782	13.090974	12.836555	14.30722
"A_23_P202496"	8.398876	8.7535715	9.484071	9.29726	8.462159	9.098448	8.316583	8.308418	8.58088	9.069081	8.918115	8.379129	6.6491175	7.832042	5.8462214
"A_23_P207400"	6.442266	5.8291855	6.325387	6.261705	NA	7.5369334	7.069851	8.409918	7.4827967	7.3752203	7.795778	7.852379	7.183044	7.755104	7.5068774
"A_23_P209962"	8.375199	7.970142	8.160832	8.027196	7.79606	8.945478	8.28915	8.320174	8.346782	8.834387	9.133796	8.678254	7.9173484	8.310913	6.897943
"A_23_P213255"	7.8497286	8.595592	9.35377	9.105013	8.131047	8.006741	7.6688476	7.520852	7.8852615	8.44974	7.9888453	7.2759213	5.807554	6.7491746	6.379044
"A_23_P213661"	9.190423	9.76021	9.700481	9.3544035	9.309355	10.68305	10.322082	10.816814	11.409624	11.246415	10.787747	10.885154	10.169092	10.696125	10.330342
"A_23_P215720"	3.6979985	2.5145032	2.9025238	2.5868988	2.4259017	2.4707253	2.6449225	3.1213143	2.6286366	2.6994991	3.8912985	3.7016687	3.4504724	3.6827874	2.5996225
"A_23_P216068"	8.887533	8.823015	10.053366	9.946712	8.572324	7.8773556	7.3616004	8.577059	7.5141335	7.9188	8.184902	7.9052243	5.7732186	7.700377	5.3239555
"A_23_P218608"	8.126446	7.884267	8.810678	8.772229	7.790768	8.041258	7.547828	8.09116	7.377993	8.160832	8.690103	8.059575	6.6582055	7.59245	6.3073697
"A_23_P23303"	4.974722	3.7443566	4.7179537	4.910883	4.015674	5.7025537	5.3196635	6.7085204	5.385023	5.21553	5.8744	5.7336583	4.6445765	5.676744	5.4907584
"A_23_P23765"	7.5620537	7.516187	7.6858735	7.769209	7.65722	6.7203493	6.8391666	7.1234684	6.6777487	6.9371915	7.364386	7.146167	6.745259	7.496828	6.5068674
"A_23_P25019"	6.8564057	7.4460244	7.9835124	7.7023034	6.7847614	8.221098	7.8697424	8.581195	7.92636	8.72427	7.836521	6.4501147	4.9992433	7.0406837	6.167509
"A_23_P250196"	8.644937	10.412968	10.909241	10.43274	9.532635	8.917309	8.853031	9.551037	9.505863	9.74246	9.554064	9.33288	8.237465	9.243342	7.8070574
"A_23_P250813"	8.622129	8.916475	9.241508	9.140593	8.614976	7.883354	7.436105	7.8390164	7.620627	7.709035	7.8905587	7.9135194	6.6519694	7.4727497	6.481614
"A_23_P252740"	5.4269953	3.818773	4.4123664	4.538838	3.730486	4.6132636	3.7937531	6.4493895	4.094068	4.5215034	5.891308	4.946397	3.3311262	5.4036703	2.8415842
"A_23_P252748"	9.884913	11.034217	11.737198	11.649722	10.710008	10.893397	10.637097	10.541945	10.823819	11.615148	10.477724	9.508925	8.278687	9.055988	9.112195
"A_23_P253464"	8.004878	8.138719	8.640837	8.307716	7.5865145	7.9229736	7.0206714	7.2263007	8.21138	8.457499	8.350095	8.109576	6.9231896	7.5643597	5.9446564
"A_23_P253524"	5.612916	5.5313864	5.612916	5.836834	5.747193	4.734488	4.1842895	6.0500207	4.6770086	4.9398885	5.092348	4.295279	3.2916245	4.603193	3.6808946
"A_23_P256956"	4.175419	4.384	4.2149715	4.437467	4.5860834	4.5988975	4.346292	5.85356	4.160953	4.6469507	4.3588157	4.144553	3.3971848	3.7705967	3.3005257
"A_23_P25873"	5.187542	4.6752195	5.191526	5.2650576	4.9891253	4.2263775	3.389638	5.1500673	NA	4.485535	5.4526386	4.216556	2.6201525	4.5634794	2.4808943
"A_23_P2683"	8.422458	9.002348	9.018497	8.671208	8.001814	9.230753	8.7375965	9.011305	9.28258	9.794068	9.722218	9.648966	8.965282	9.492549	9.069419
"A_23_P39682"	11.122851	13.752526	15.384264	15.404021	13.529239	11.856749	11.767689	11.122198	10.219151	12.2163315	10.421441	9.093115	7.946506	8.67854	7.935699
"A_23_P41948"	8.251525	7.5639205	8.389193	8.310259	7.4212646	7.2711325	6.9596457	7.6724415	7.3619967	7.2223673	7.3738637	7.09262	6.7250953	7.1260147	6.5574183
"A_23_P49878"	4.7067914	3.993464	3.523258	3.4611003	4.033408	5.2460365	4.9211526	5.403274	5.04285	4.925684	5.099715	4.8290477	4.0832014	4.7204614	4.1177335
"A_23_P5300"	3.5304077	2.4696858	2.9995606	2.6974602	2.553745	2.8609953	2.9505517	3.217877	2.7687595	2.7292566	2.814921	3.5812972	3.3424487	2.7479913	3.0850506
"A_23_P53126"	11.380797	14.044729	14.388592	13.714331	12.804475	12.550382	12.642472	11.890212	13.386205	14.272195	12.393174	11.773122	10.928997	11.405044	12.702306
"A_23_P57306"	7.7148724	7.3021903	8.095072	8.042723	7.1512465	7.3619967	6.789535	7.970142	6.780956	6.784946	7.802823	7.477312	6.7631526	7.7921195	5.8996406
"A_23_P58132"	16.719168	16.919949	NA	16.830622	16.837206	17.014221	17.084682	17.032478	17.045427	16.95253	16.763695	16.849821	16.686378	16.810644	17.087042
"A_23_P58321"	4.8924665	4.9571667	5.2341275	5.2776203	5.1656995	6.205154	5.102557	7.5347686	5.795226	5.577014	5.8446174	5.7735534	3.8574765	5.909146	4.7162223
"A_23_P6335"	3.8025372	3.4490254	3.0722687	3.2438142	3.717195	4.3415427	4.201497	4.594669	4.5099697	4.3165264	2.814921	2.745772	3.4961793	3.697209	3.6652017
"A_23_P67042"	3.5452516	6.088158	5.694448	5.719679	6.3541136	5.5846286	5.812289	5.989768	6.0298395	6.1093583	4.496874	3.7570848	3.950656	3.8222485	5.1837683
"A_23_P70328"	5.7502575	5.6210546	5.5418777	4.996509	5.1596837	4.6329675	4.742809	5.248951	5.357102	5.3898892	6.3769255	5.9425707	6.053092	6.2888083	4.8284063
"A_23_P7313"	3.9158316	2.8769736	3.128702	2.7887485	2.5894141	2.507994	2.7754183	3.1520455	3.0457804	2.7050788	10.8428	11.94345	6.776738	7.0169306	2.7415223
"A_23_P7582"	9.854261	11.32482	14.047952	14.108117	11.179779	10.339004	8.945919	8.594596	9.05444	10.510396	7.895751	6.370618	5.902218	6.63518	5.616688
"A_23_P76799"	9.863084	11.674158	12.381189	11.838759	10.629048	11.11013	11.310138	11.11956	11.948002	12.713129	11.633864	11.588155	10.66564	11.389464	12.786469
"A_23_P82738"	6.2033153	5.913474	5.859454	5.7360644	5.8467636	5.9639354	4.7533007	5.771868	5.787466	6.0249166	6.0255485	4.2606015	3.5123496	5.061455	3.758866
"A_23_P87238"	4.0035825	2.5658295	2.9225862	2.867781	2.7967274	2.7160912	2.657077	3.1834567	2.5681336	2.6360745	2.814921	3.6654809	2.6201525	2.7479913	2.5932298
"A_23_P87879"	12.157262	15.908686	16.160147	16.172407	15.976498	14.577624	13.968697	14.365314	14.431268	14.862278	12.921894	12.50319	11.573023	12.214382	13.264036
